"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un";"N0 faire un N Prép N1 de (le+ce+son) N2";"N0 faire Det N Prép N1 de N2";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Prép1 =: à";"Prép1 =: sur";"Prép1 =: dans";"Prép1 =: contre";"N1 =: Nhum";"N1 =: N-hum";"N0-hum faire Det N à N1";"GN =: le N de N0";"GN =: le N de N0 Prép N1";"GN =: le N de N1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"97";"4";"embellir";"embellissement";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"~";"Max fait des embellissement dans sa maison";"~";"~"
"98";"38l";"embouteiller";"embouteillage";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"99";"37m";"encadrer";"encadrement";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"100";"37m";"encombrer";"encombrement";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"101";"32ra";"enjoliver";"enjolivure";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"Max fait des enjolivures à sa voiture";"~";"~"
"102";"37m";"enluminer";"enluminure";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"Max a fait les enluminures sur ce livre+des enluminures sur son (missel+calepin))";"Max a fait des enluminures à ce (verset+texte)";"~";"~"
"103";"37m";"entailler";"entaille";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~";"Max fait une entaille dans l'écorce";"~";"~"
"104";"37e";"épiler";"épilation";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"Léa se fait l'épilation des sourcils"
"105";"37m";"équiper";"équipement";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"106";"37m";"érafler";"éraflure";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
