"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: Ncoll";"Det =: un-de Dnum Nmes";"il y avoir Det N à N0";"il y avoir Det N Loc N0";"Vsup =: mettre";"Vsup =: faire";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4"
"57";"avarie";"+";"-";"-";"+";"+";"-";"+";"Le bateau (a+subit) des avaries";"~";"La tempête (inflige+cause) des avaries au bateau";"~";"~"
"58";"avers";"+";"-";"-";"+";"-";"-";"-";"Cette (médaille+monnaie) a un avers";"~";"~";"~";"~"
"59";"axe";"+";"-";"-";"+";"+";"-";"-";"(Cette politique+Ce cylindre) a un axe";"~";"~";"~";"~"
"60";"background";"+";"-";"-";"-";"+";"-";"-";"Cette ville a un background";"~";"~";"~";"~"
"61";"barre";"+";"-";"-";"-";"+";"+";"-";"L'échelle des mots (a+comporte) une barre";"~";"~";"~";"~"
"62";"bas";"+";"-";"-";"+";"-";"-";"-";"La montagne a un bas";"~";"~";"~";"GN =: [Le bas de la montagne]"
"63";"base";"+";"-";"+";"+";"-";"-";"-";"Cette théorie a une base";"~";"~";"~";"~"
"64";"bas-fonds";"-";"+";"-";"-";"+";"-";"-";"Cette société a des bas-fonds";"Il y a des bas-fonds dans toute société";"~";"~";"~"
"65";"béance";"+";"-";"-";"-";"+";"-";"-";"~";"Il y a une béance dans ma vie";"~";"~";"~"
"66";"bécarre";"+";"-";"-";"-";"+";"+";"-";"Cette note a un bécarre";"~";"~";"~";"~"
"67";"bémol";"+";"-";"-";"-";"+";"+";"-";"Cette note a un bémol";"Il y a un bémol (sur cette  note+à ses affirmations)";"~";"~";"~"
"68";"biais";"+";"-";"-";"+";"+";"-";"-";"Le tissu a un biais";"~";"~";"~";"~"
"69";"bioclimat";"+";"-";"-";"-";"+";"-";"-";"Cette région a un bioclimat";"~";"~";"~";"~"
"70";"bissectrice";"+";"-";"-";"-";"+";"-";"-";"Cet angle a une bissectrice";"~";"~";"~";"~"
"71";"bitension";"+";"-";"-";"-";"+";"-";"-";"Ce fil électrique a une bitension";"~";"~";"~";"~"
"72";"blanc";"+";"-";"-";"-";"+";"+";"-";"~";"Il y a un blanc (sur cette page+entre des mots)";"~";"~";"~"
"73";"bord";"+";"-";"-";"+";"-";"-";"-";"Cette surface a un bord";"~";"~";"~";"~"
"74";"bordure";"+";"-";"+";"+";"-";"+";"-";"Cette chaussée a une bordure";"~";"~";"~";"~"
"75";"borne";"+";"-";"-";"+";"-";"+";"-";"(Max (a+a mis) des bornes à ce champ+Ce champ a des bornes)";"~";"~";"~";"~"
"76";"bornes";"+";"-";"-";"+";"-";"+";"-";"Le cynisme a des bornes";"Il y a des bornes au cynisme";"~";"~";"~"
"77";"bosse";"+";"-";"+";"-";"+";"-";"-";"Cette plaque a des bosses";"Il y a des bosses sur cette plaque";"~";"~";"~"
"78";"bout";"+";"-";"-";"+";"-";"-";"-";"Le bâton a deux bouts";"~";"~";"~";"~"
"79";"brèche";"+";"-";"+";"-";"+";"-";"+";"~";"~";"~";"~";"~"
"80";"bureau";"-";"+";"-";"-";"+";"-";"-";"L'association a un bureau";"~";"~";"~";"~"
"81";"cadre";"+";"-";"-";"+";"-";"-";"-";"Cette scène a un cadre";"~";"~";"~";"~"
"82";"canevas";"+";"-";"-";"-";"+";"-";"-";"Le roman a un certain canevas";"Il y a un certain canevas à ce roman";"~";"~";"~"
"83";"canon";"+";"-";"-";"+";"-";"-";"-";"La (messe+cérémonie) a un canon";"~";"~";"~";"~"
"84";"caractéristique";"+";"+";"-";"-";"+";"-";"-";"Ce moteur a des caractéristiques";"~";"~";"~";"~"
"85";"carence";"+";"-";"-";"-";"+";"-";"-";"Ce travail (a+comporte) des carences";"Il y a des carences dans ce travail";"~";"~";"~"
"86";"cas";"+";"-";"-";"-";"+";"-";"-";"Cette langue a des cas";"~";"~";"~";"~"
"87";"cassis";"-";"-";"-";"-";"+";"-";"-";"La route a des cassis";"Il y a des cassis sur la route";"~";"~";"~"
"88";"caste";"-";"+";"-";"-";"+";"-";"-";"Cette société a des castes";"Il y a des castes dans cette société";"~";"~";"Max est de la caste des intouchables"
"89";"catégorie";"+";"-";"-";"-";"+";"-";"-";"(Ces verbes (ont+forment) une catégorie+Les verbes comportent 26 catégories)";"Il y a 26 catégories dans les verbes";"~";"~";"Cette langue a 7 catégories (E+de mots)"
